STN_NAME,STN_NAME_ZH,STN_NO,Latitude,Longitude,Type
Jurong East,裕廊东,NS1/EW24/JE5,1.33341,103.74211,MRT
Bukit Batok,武吉巴督,NS2,1.34903,103.74956,MRT
Bukit Gombak,武吉甘柏,NS3,1.35876,103.75189,MRT
Choa Chu Kang,蔡厝港,NS4/BP1/JS1,1.38536,103.74434,MRT/LRT
Yew Tee,油池,NS5,1.39753,103.7474,MRT
Kranji,克兰芝,NS7,1.42517,103.76216,MRT
Marsiling,马西玲,NS8,1.43251,103.77407,MRT
Woodlands,兀兰,NS9/TE2,1.43687,103.78648,MRT
Admiralty,海军部,NS10,1.44058,103.80098,MRT
Sembawang,三巴旺,NS11,1.44905,103.82004,MRT
Canberra,坎贝拉,NS12,1.44313,103.82971,MRT
Yishun,义顺,NS13,1.42944,103.835,MRT
Khatib,卡迪,NS14,1.41738,103.83297,MRT
Yio Chu Kang,杨厝港,NS15,1.38175,103.84494,MRT
Ang Mo Kio,宏茂桥,NS16/CR11,1.36934,103.84993,MRT
Bishan,碧山,NS17/CC15,1.35083,103.84814,MRT
Braddell,布莱德,NS18,1.34047,103.84679,MRT
Toa Payoh,大巴窑,NS19,1.33262,103.8475,MRT
Novena,诺维娜,NS20,1.32044,103.84382,MRT
Newton,牛顿,NS21/DT11,1.31232,103.83798,MRT
Orchard,乌节,NS22/TE14,1.30398,103.83224,MRT
Somerset,索美塞,NS23,1.30026,103.83907,MRT
Dhoby Ghaut,多美歌,NS24/NE6/CC1,1.2987,103.84611,MRT
City Hall,政府大厦,NS25/EW13,1.29293,103.85258,MRT
Raffles Place,莱佛士坊,NS26/EW14,1.28412,103.85146,MRT
Marina Bay,滨海湾,NS27/CE2/TE20,1.27642,103.85459,MRT
Marina South Pier,滨海湾码头,NS28,1.27133,103.86285,MRT
Pasir Ris,巴西立,EW1/CR5/CP1,1.37298,103.94926,MRT
Tampines,淡滨尼,EW2/DT32,1.3533,103.94514,MRT
Simei,四美,EW3,1.3432,103.95337,MRT
Tanah Merah,丹那美拉,EW4,1.32718,103.94634,MRT
Bedok,勿洛,EW5,1.32397,103.92998,MRT
Kembangan,景万岸,EW7,1.31977,103.90325,MRT
Paya Lebar,巴耶利峇,EW8/CC9,1.31811,103.89306,MRT
Aljunied,阿裕尼,EW9,1.31643,103.8829,MRT
Kallang,加冷,EW10,1.31148,103.87138,MRT
Lavender,劳明达,EW11,1.30735,103.86282,MRT
Bugis,武吉士,EW12/DT14,1.30046,103.8557,MRT
Tanjong Pagar,丹戎巴葛,EW15,1.27652,103.84586,MRT
Outram Park,欧南园,EW16/NE3/TE17,1.2814,103.83912,MRT
Tiong Bahru,中巴鲁,EW17,1.28619,103.82701,MRT
Redhill,红山,EW18,1.28956,103.81681,MRT
Queenstown,女皇镇,EW19,1.29486,103.80588,MRT
Commonwealth,联邦,EW20,1.30243,103.7983,MRT
Buona Vista,波那维斯达,EW21/CC22,1.30718,103.79019,MRT
Dover,杜弗,EW22,1.3114,103.77863,MRT
Clementi,金文泰,EW23/CR17,1.31495,103.76529,MRT
Chinese Garden,裕华园,EW25,1.34235,103.73259,MRT
Lakeside,湖畔,EW26,1.34425,103.72094,MRT
Boon Lay,文礼,EW27/JS8,1.3386,103.70606,MRT
Pioneer,先驱,EW28,1.33762,103.69735,MRT
Joo Koon,裕群,EW29,1.32771,103.67837,MRT
Gul Circle,卡尔圈,EW30,1.3195,103.66055,MRT
Tuas Crescent,大士弯,EW31,1.32102,103.64907,MRT
Tuas West Road,大士西路,EW32,1.32998,103.63961,MRT
Tuas Link,大士连路,EW33,1.34046,103.63687,MRT
Expo,博览,CG1/DT35,1.33454,103.96154,MRT
Changi Airport,樟宜机场,CG2,1.35731,103.98836,MRT
Harbourfront,港湾,NE1/CC29,1.26547,103.82144,MRT
Chinatown,牛车水,NE4/DT19,1.28435,103.84342,MRT
Clarke Quay,克拉码头,NE5,1.28838,103.84655,MRT
Little India,小印度,NE7/DT12,1.3068,103.84964,MRT
Farrer Park,花拉公园,NE8,1.31235,103.85417,MRT
Boon Keng,文庆,NE9,1.31939,103.86168,MRT
Potong Pasir,波东巴西,NE10,1.33137,103.86905,MRT
Woodleigh,兀里,NE11,1.33919,103.87081,MRT
Serangoon,实龙岗,NE12/CC13,1.3497,103.87357,MRT
Kovan,高文,NE13,1.36017,103.88506,MRT
Hougang,后港,NE14/CR8,1.37129,103.89238,MRT
Buangkok,万国,NE15,1.38287,103.89312,MRT
Sengkang,盛港,NE16,1.39169,103.89548,MRT/LRT
Punggol,榜鹅,NE17/PTC/CP4,1.40454,103.90207,MRT/LRT
Punggol Coast,榜鹅海岸,NE18,1.41498,103.91023,MRT
Bras Basah,百胜,CC2,1.29686,103.85066,MRT
Esplanade,滨海中心,CC3,1.29332,103.8555,MRT
Promenade,宝门廊,CC4/DT15,1.29321,103.86099,MRT
Nicoll Highway,尼克大道,CC5,1.29976,103.86363,MRT
Stadium,体育场,CC6,1.30284,103.87535,MRT
Mountbatten,蒙巴登,CC7,1.3062,103.88252,MRT
Dakota,达科达,CC8,1.30838,103.88866,MRT
Macpherson,麦波申,CC10/DT26,1.32634,103.89028,MRT
Tai Seng,大胜,CC11,1.33543,103.88819,MRT
Bartley,巴特礼,CC12,1.34282,103.87975,MRT
Lorong Chuan,罗弄泉,CC14,1.35161,103.86415,MRT
Marymount,玛丽蒙,CC16,1.3487,103.83942,MRT
Caldecott,加利谷,CC17/TE9,1.33767,103.83952,MRT
Botanic Gardens,植物园,CC19/DT9,1.32211,103.81498,MRT
Farrer Road,花拉路,CC20,1.31751,103.80758,MRT
Holland Village,荷兰村,CC21,1.31183,103.79619,MRT
One-North,纬壹,CC23,1.29975,103.78745,MRT
Kent Ridge,肯特岗,CC24,1.29349,103.78442,MRT
Haw Par Villa,虎豹别墅,CC25,1.28254,103.78181,MRT
Pasir Panjang,巴西班让,CC26,1.27621,103.79135,MRT
Labrador Park,拉伯多公园,CC27,1.27233,103.80293,MRT
Telok Blangah,直落布兰雅,CC28,1.27075,103.80974,MRT
Bayfront,海湾舫,DT16/CE1,1.28187,103.85907,MRT
Bukit Panjang,武吉班让,DT1/BP6,1.3779,103.76301,MRT/LRT
Cashew,凯秀,DT2,1.36936,103.76469,MRT
Hillview,山景,DT3,1.36234,103.76741,MRT
Hume,谦道,DT4,1.35451,103.76909,MRT
Beauty World,美世界,DT5,1.34122,103.77579,MRT
King Albert Park,阿尔伯王园,DT6/CR15,1.33566,103.7838,MRT
Sixth Avenue,第六道,DT7,1.33078,103.79724,MRT
Tan Kah Kee,陈嘉庚,DT8,1.32588,103.80732,MRT
Stevens,史蒂芬,DT10/TE11,1.32006,103.82602,MRT
Rochor,乌曹,DT13,1.30391,103.85242,MRT
Downtown,市中心,DT17,1.27944,103.85284,MRT
Telok Ayer,直落亚逸,DT18,1.28228,103.8483,MRT
Fort Canning,福康宁,DT20,1.29247,103.84432,MRT
Bencoolen,蒙古连,DT21,1.29886,103.85038,MRT
Jalan Besar,惹兰勿刹,DT22,1.3054,103.85547,MRT
Bendemeer,文帝米亚,DT23,1.31367,103.86297,MRT
Geylang Bahru,芽笼峇鲁,DT24,1.3215,103.8719,MRT
Mattar,玛达,DT25,1.32687,103.88324,MRT
Ubi,乌美,DT27,1.32995,103.89925,MRT
Kaki Bukit,加基武吉,DT28,1.33496,103.90845,MRT
Bedok North,勿洛北,DT29,1.33474,103.91797,MRT
Bedok Reservoir,勿洛蓄水池,DT30,1.3366,103.93223,MRT
Tampines West,淡滨尼西,DT31,1.34551,103.93843,MRT
